"Concordance between the North American Industry Classification System (NAICS) Canada 2017 Version 3.0 and the International Standard Industrial Classification (ISIC), Rev. 4",,,,
NAICS Canada 2017 Version 3.0 Code,NAICS Canada 2017 Version 3.0 Title,ISIC Rev. 4 Code,ISIC Rev. 4 Title,Explanatory Notes
111421,Nursery and tree production,A0129*,Growing of other perennial crops,"Short rotation tree farming (e.g., Christmas trees)"
111421,Nursery and tree production,A0130*,Plant propagation,"Growing of shrubs, sod, seedlings, and similar nursery stock; tree nurseries (except forest tree nurseries)"
111422,Floriculture production,A0119*,Growing of other non-perennial crops,"Flower growing, including flower seeds"
111910,Tobacco farming,A0115,Growing of tobacco,
111920,Cotton farming,A0116*,Growing of fibre crops,Cotton farming
111930,Sugar-cane farming,A0114,Growing of sugar cane,
111940,Hay farming,A0119*,Growing of other non-perennial crops,"Alfalfa, clover, hay and forage crops (except corn for grain) farming"
111993,Fruit and vegetable combination farming,A011X,Growing of non-perennial crops,Fruit and vegetable combinations farming (non-perennial)
111993,Fruit and vegetable combination farming,A012X,Growing of perennial crops,Fruit and vegetable combinations farming (perennial)
111994,Maple syrup and products production,A0129*,Growing of other perennial crops,Growing maple trees for the harvest of maple sap; maple sugar bush operating
111994,Maple syrup and products production,A0230*,Gathering of non-wood forest products,Maple sap concentrating and gathering in the wild
111994,Maple syrup and products production,C1072*,Manufacture of sugar,Maple sugars and syrups produced in a separate central facility
111995,Cannabis grown in open fields,A0128*,"Growing of spices, aromatic, drug and pharmaceutical crops",cannabis seeds and seedling growing in open fields
111995,Cannabis grown in open fields,A0163*,Post-harvest crop activities,"harvesting, trimming, curing and drying cannabis grown in open fields, processing for primary markets cannabis grown in open fields"
111999,All other miscellaneous crop farming,A0111*,"Growing of cereals (except rice), leguminous crops and oil seeds",Combination field crop farming; peanut farming
111999,All other miscellaneous crop farming,A0113*,"Growing of vegetables and melons, roots and tubers",Sugar beets grown in open fields; chicory farming (except marijuana)
111999,All other miscellaneous crop farming,A0116*,Growing of fibre crops,"Fibre crop farming (e.g., hemp, kenaf, sisal, abaca, ramie, flax fibre and similar)"
111999,All other miscellaneous crop farming,A0127*,Growing of beverage crops,"Tea, maté and spices, grown in open fields"
111999,All other miscellaneous crop farming,A0128*,"Growing of spices, aromatic, drug and pharmaceutical crops","Spice farming not grown under cover (e.g., ginseng, cloves, echinacea, mint, ginger, anise); hops farming"
111999,All other miscellaneous crop farming,A0129*,Growing of other perennial crops,Rubber plantations
111999,All other miscellaneous crop farming,A0150*,Mixed farming,"Combinations of crops, livestock, and animal specialties (primarily but less than 66% crops)"
112110,"Beef cattle ranching and farming, including feedlots",A0141*,Raising of cattle and buffaloes,"Beef cattle ranching and farming, including feedlots"
112120,Dairy cattle and milk production,A0141*,Raising of cattle and buffaloes,Production of raw cow milk
112210,Hog and pig farming,A0145,Raising of swine/pigs,
112310,Chicken egg production,A0146*,Raising of poultry,Chicken egg and chicken hatcheries
112320,Broiler and other meat-type chicken production,A0146*,Raising of poultry,Broiler and fryer chicken and capon farming
112330,Turkey production,A0146*,Raising of poultry,Turkey meat and eggs farming
112340,Poultry hatcheries,A0146*,Raising of poultry,Poultry hatcheries
112391,Combination poultry and egg production,A0146*,Raising of poultry,"Poultry, egg and hatchery in combination"
112399,All other poultry production,A0146*,Raising of poultry,"Ducks, geese and exotic poultry, raising (except ostrich and emu)"
112399,All other poultry production,A0149*,Raising of other animals,Ostrich or emu farming
112410,Sheep farming,A0144*,Raising of sheep and goats,Raising sheep and wool production
112420,Goat farming,A0144*,Raising of sheep and goats,"Goat farming, goats milk production and mohair farming"
112510,Aquaculture,A0321,Marine aquaculture,
112510,Aquaculture,A0322*,Freshwater aquaculture,"Freshwater farming and hatcheries of freshwater fish, animals and plant aquaculture"
112910,Apiculture,A0149*,Raising of other animals,Beekeeping services and honey and bees wax production
112920,Horse and other equine production,A0142,Raising of horses and other equines,
112930,Fur-bearing animal and rabbit production,A0149*,Raising of other animals,"Fur-bearing animals (e.g., rabbits, chinchillas, muskrats)"
112991,Animal combination farming,A014X,Animal production,This combination of various livestock animals does not exist at the ISIC 4-digit level.
112999,All other miscellaneous animal production,A0141*,Raising of cattle and buffaloes,Bison raising
112999,All other miscellaneous animal production,A0143,Raising of camels and camelids,
112999,All other miscellaneous animal production,A0149*,Raising of other animals,"Aviaries; domestic pets; other animals, n.e.c. (e.g., worms, snakes), raising"
112999,All other miscellaneous animal production,A0150*,Mixed farming,"Combinations of crops, livestock, and animal specialties (primarily but less than 66% animals)"
113110,Timber tract operations,A0210*,Silviculture and other forestry activities,Growing of standing timber (except in forestry nurseries)
113210,Forest nurseries and gathering of forest products,A0210*,Silviculture and other forestry activities,Forest nurseries
113210,Forest nurseries and gathering of forest products,A0230*,Gathering of non-wood forest products,"Gathering of forest products in the wild except maple syrup (mushrooms, gums, barks, berries, cork, balsams, moss and truffles)"
113311,Logging (except contract),A0220*,Logging,"Logging operations (except contract) including Christmas trees, fuelwood, and hewn timbers"
113311,Logging (except contract),C1610*,Sawmilling and planing of wood,Producing wood chips in forest
113312,Contract logging,A0220*,Logging,Contract logging
113312,Contract logging,A0240*,Support services to forestry,Transport of logs within the forest; recovering of beached logs
114113,Salt water fishing,A0170*,"Hunting, trapping and related service activities",Capturing seals and walruses
114113,Salt water fishing,A0311*,Marine fishing,Salt water fishing; marine crustaceans and mollusks; gathering marine organisms like sponges or seaweed; catching saltwater animals in the wild
114114,Freshwater fishing,A0312,Freshwater fishing,
114210,Hunting and trapping,A0170*,"Hunting, trapping and related service activities",Hunting and trapping activities only
115110,Support activities for crop production,A0161,Support activities for crop production,
115110,Support activities for crop production,A0163,Post-harvest crop activities,
115110,Support activities for crop production,A0164,Seed processing for propagation,
115210,Support activities for animal production,A0162,Support activities for animal production,
115210,Support activities for animal production,M7500*,Veterinary activities,Vaccinating livestock and pets (except by veterinarians)
115310,Support activities for forestry,A0240*,Support services to forestry,"Forestry service activities (e.g., fire-fighting; log-hauling by truck, in the bush; timber cruising; silviculture; pest control; timber estimating)"
211110, Oil and gas extraction (except oil sands) ,B0510*,Mining of hard coal,Coal gasification or liquefaction at the mine site
211110, Oil and gas extraction (except oil sands) ,B0610*,Extraction of crude petroleum,crude oil extraction; heavy crude upgrading
211110, Oil and gas extraction (except oil sands) ,B0620,Extraction of natural gas,Except in-situ or mined oil sands extraction
211141,In-situ oil sands extraction,B0610*,Extraction of crude petroleum,
211142,Mined oil-sands extraction,B0610*,Extraction of crude petroleum,
212114,Bituminous coal mining,B0510*,Mining of hard coal,"Anthracite or bituminous, mining"
212115,Subbituminous coal mining,B0520*,Mining of lignite,Subbituminous coal mining
212116,Lignite coal mining,B0520*,Mining of lignite,Lignite coal mining
212210,Iron ore mining,B0710,Mining of iron ores,
212220,Gold and silver ore mining,B0729*,Mining of other non-ferrous metal ores,Gold and silver ore mining
212231,Lead-zinc ore mining,B0729*,Mining of other non-ferrous metal ores,Lead-zinc ore mining
212232,Nickel-copper ore mining,B0729*,Mining of other non-ferrous metal ores,Nickel-copper ore mining
212233,Copper-zinc ore mining,B0729*,Mining of other non-ferrous metal ores,Copper-zinc ore mining
212291,Uranium ore mining,B0721*,Mining of uranium and thorium ores,"Radioactive ores (i.e., uranium, radium), mining"
212291,Uranium ore mining,B0729*,Mining of other non-ferrous metal ores,"Vanadium, mining"
212299,All other metal ore mining,B0721*,Mining of uranium and thorium ores,"Thorium, mining"
212299,All other metal ore mining,B0729*,Mining of other non-ferrous metal ores,"Metal ores n.e.c., except thorium (e.g., bauxite, cobalt, magnesium, manganese, tungsten, mercury, molybdenum, rare earths), mining"
212314,Granite mining and quarrying,B0810*,"Quarrying of stone, sand and clay",Granite mining and quarrying
212315,Limestone mining and quarrying,B0810*,"Quarrying of stone, sand and clay",Limestone (except agricultural) mining and quarrying
212315,Limestone mining and quarrying,B0891*,Mining of chemical and fertilizer minerals,"Agricultural limestone, mining, quarrying, grinding and pulverizing"
212316,Marble mining and quarrying,B0810*,"Quarrying of stone, sand and clay","Marble mining and quarrying, including mica schist"
212317,Sandstone mining and quarrying,B0810*,"Quarrying of stone, sand and clay",Sandstone mining and quarrying
212323,Sand and gravel mining and quarrying,B0810*,"Quarrying of stone, sand and clay",Sand and gravel mining and quarrying
212326,"Shale, clay and refractory mineral mining and quarrying",B0810*,"Quarrying of stone, sand and clay","Shale quarrying, clay pits, refractory minerals (e.g., dolomite, bentonite), quarrying"
212326,"Shale, clay and refractory mineral mining and quarrying",B0899*,Other mining and quarrying n.e.c.,"Minerals n.e.c. (e.g., brucite, feldspar, magnesite, olivine and topaz (non-gem)), quarrying"
212392,Diamond mining,B0899*,Other mining and quarrying n.e.c.,Diamond mining
212393,Salt mining,B0893*,Extraction of salt,Salt mining (except the manufacture of food grade salt)
212394,Asbestos mining,B0899*,Other mining and quarrying n.e.c.,Asbestos mining
212395,Gypsum mining,B0810*,"Quarrying of stone, sand and clay",Gypsum mining
212396,Potash mining,B0891*,Mining of chemical and fertilizer minerals,"Mining, beneficiating or otherwise preparing potash"
212397,Peat extraction,B0892,Extraction of peat,
212398,All other non-metallic mineral mining and quarrying,B0891*,Mining of chemical and fertilizer minerals,"Chemical and fertilizer minerals n.e.c. (e.g., alum; apatite; arsenic; barite; borax; boron; fluorospar; ocher; phosphate rock; pyrites; soda ash; sulfur), mining"
212398,All other non-metallic mineral mining and quarrying,B0899*,Other mining and quarrying n.e.c.,"Non-metallic minerals n.e.c. (e.g., actinolite; amethyst; corundum; diatomaceous earth; graphite; mica (except mica schist); talc; precious stones (except diamonds)), mining and quarrying"
213111,Oil and gas contract drilling,B0910*,Support activities for petroleum and natural gas extraction,Oil and gas contract drilling
213117,Contract drilling (except oil and gas),B0990*,Support activities for other mining and quarrying,Contract drilling (except oil and gas)
213118,Services to oil and gas extraction,B0910*,Support activities for petroleum and natural gas extraction,"Services to oil and gas extraction (e.g., acidizing wells, bailing wells, cementing oil and gas well casings), on a contract basis"
213119,Other support activities for mining,B0990*,Support activities for other mining and quarrying,"Other support services for mining on a fee or contract basis, except overburden removal (e.g., anthracite culm bank recovery or mine exploration services (except geophysical or oil and gas)"
213119,Other support activities for mining,F4312*,Site preparation,"Mining services n.e.c. (e.g., contract: mine developing, overburden removal, mine draining and pumping)"
221111,Hydro-electric power generation,D3510*,"Electric power generation, transmission and distribution",Hydro-electric power generation
221112,Fossil-fuel electric power generation,D3510*,"Electric power generation, transmission and distribution",Fossil-fuel electric power generation
221113,Nuclear electric power generation,D3510*,"Electric power generation, transmission and distribution",Nuclear electric power generation
221119,Other electric power generation,D3510*,"Electric power generation, transmission and distribution","Other electric power generation (e.g., solar, tidal, wind, geothermal)"
221121,Electric bulk power transmission and control,D3510*,"Electric power generation, transmission and distribution",Electric bulk power transmission and control
221122,Electric power distribution,D3510*,"Electric power generation, transmission and distribution",Electric power distribution
221210,Natural gas distribution,D3520,Manufacture of gas; distribution of gaseous fuels through mains,
221310,Water supply and irrigation systems,E3600,"Water collection, treatment and supply",
221310,Water supply and irrigation systems,H4930*,Transport via pipeline,"Water supply pipelines, long distance"
221320,Sewage treatment facilities,E3700*,Sewerage,Sewage treatment facilities
221330,Steam and air-conditioning supply,D3530*,Steam and air conditioning supply,"Production and or distribution of steam, heated or cooled air"
236110,Residential building construction,F4100*,Construction of buildings,"Residential building construction (e.g., single family houses, multi family buildings, including high-rise buildings)"
236210,Industrial building and structure construction,F4100*,Construction of buildings,Industrial building and structure construction (except industrial facilities)
236210,Industrial building and structure construction,F4290*,Construction of other civil engineering projects,"Construction of industrial facilities (e.g., chemical plants)"
236210,Industrial building and structure construction,F4390*,Other specialized construction activities,Industrial oven construction
236220,Commercial and institutional building construction,F4100*,Construction of buildings,Commercial and institutional building construction (except stadium construction)
236220,Commercial and institutional building construction,F4290*,Construction of other civil engineering projects,Stadium construction
237110,Water and sewer line and related structures construction,F4220*,Construction of utility projects,Water and sewer line and related structures construction
237120,Oil and gas pipeline and related structures construction,F4220*,Construction of utility projects,"Gas mains; gas, oil pipelines; construction; pipeline, wrapping"
237120,Oil and gas pipeline and related structures construction,F4290*,Construction of other civil engineering projects,"Natural gas cleaning and processing plants, petroleum refineries, and petrochemical plants, construction"
237130,Power and communication line and related structures construction,F4220*,Construction of utility projects,Power and communication line and related structures construction
237210,Land subdivision,F4290*,Construction of other civil engineering projects,Land subdivision
237310,"Highway, street and bridge construction",F4210*,Construction of roads and railways,"Highway, street and bridge, and airport runway construction and repair; painting lines on roadways and parking areas; highway sign and guardrail erection (except by specialized contractors)"
237310,"Highway, street and bridge construction",F4321*,Electrical installation,Traffic signalling and lighting installation contractors
237990,Other heavy and civil engineering construction,F4210*,Construction of roads and railways,"Construction of tunnels, subways, and railroads"
237990,Other heavy and civil engineering construction,F4220*,Construction of utility projects,Construction of utility plants
237990,Other heavy and civil engineering construction,F4290*,Construction of other civil engineering projects,Other heavy and civil engineering construction n.e.c.
237990,Other heavy and civil engineering construction,F4312*,Site preparation,"Microtunneling, soil stabilization using anchored earth procedures"
238110,Poured concrete foundation and structure contractors,F4390*,Other specialized construction activities,Poured concrete foundation and structure contractors
238120,Structural steel and precast concrete contractors,F4390*,Other specialized construction activities,Structural steel and precast concrete contractors
238130,Framing contractors,F4390*,Other specialized construction activities,Framing contractors
238140,Masonry contractors,F4330*,Building completion and finishing,Stucco work; glass block laying
238140,Masonry contractors,F4390*,Other specialized construction activities,Masonry work (except stucco and glass block laying)
238150,Glass and glazing contractors,F4330*,Building completion and finishing,Glass and glazing contractors
238160,Roofing contractors,F4390*,Other specialized construction activities,Roofing contractors
238170,Siding contractors,F4390*,Other specialized construction activities,Siding contractors
238190,"Other foundation, structure and building exterior contractors",F4390*,Other specialized construction activities,"Other foundation, structure and building exterior contractors"
238210,Electrical contractors and other wiring installation contractors,F4321*,Electrical installation,Electrical contractors and other wiring installation contractors (except satellite dish installation)
238220,"Plumbing, heating and air-conditioning contractors",C3320*,Installation of industrial machinery and equipment,Industrial furnace installation
238220,"Plumbing, heating and air-conditioning contractors",F4322,"Plumbing, heat and air-conditioning installation",
238220,"Plumbing, heating and air-conditioning contractors",F4390*,Other specialized construction activities,Chimney liner installation
238220,"Plumbing, heating and air-conditioning contractors",N8129*,Other building and industrial cleaning activities,"Boiler chipping, cleaning and scaling"
238291,Elevator and escalator installation contractors,F4329*,Other construction installation,Elevator and escalator installation contractors
238299,All other building equipment contractors,C3312*,Repair of machinery,Service station equipment maintenance and repair
238299,All other building equipment contractors,C3320*,Installation of industrial machinery and equipment,Installation of industrial machinery including activities of millwrights
238299,All other building equipment contractors,F4321*,Electrical installation,"Satellite dish (household), installation and service"
238299,All other building equipment contractors,F4329*,Other construction installation,Other construction installation n.e.c
238310,Drywall and insulation contractors,F4329*,Other construction installation,Soundproofing and insulation
238310,Drywall and insulation contractors,F4330*,Building completion and finishing,"Drywall, plastering and suspended ceiling, installation"
238320,Painting and wall covering contractors,F4330*,Building completion and finishing,Painting and wall covering contractors
238330,Flooring contractors,F4330*,Building completion and finishing,Flooring contractors
238340,Tile and terrazzo contractors,F4330*,Building completion and finishing,Tile and terrazzo contractors
238350,Finish carpentry contractors,F4330*,Building completion and finishing,Finish carpentry contractors
238390,Other building finishing contractors,F4330*,Building completion and finishing,Modular furniture attachment and installation; partition installation; laboratory equipment furniture installation
238390,Other building finishing contractors,F4390*,Other specialized construction activities,"Bathtubs, refinishing; drapery hardware, window shades and blinds, installation; custom metal kitchen cabinets and counters; concrete, sealing, coating and waterproofing"
238910,Site preparation contractors,F4311,Demolition,
238910,Site preparation contractors,F4312*,Site preparation,"Site preparation contractors preparing land for building construction (e.g., land clearing and levelling; excavating and grading)"
238910,Site preparation contractors,F4390*,Other specialized construction activities,"Site preparation contractors n.e.c. (e.g., pile driving; installation of septic systems, construction equipment rental with an operator (except cranes))"
238990,All other specialty trade contractors,F4210*,Construction of roads and railways,Installation of interlocking stone or block
238990,All other specialty trade contractors,F4390*,Other specialized construction activities,Sand blasting building; except installation of interlocking stone
311111,Dog and cat food manufacturing,C1080*,Manufacture of prepared animal feeds,"Dog and cat food, manufacturing"
311119,Other animal food manufacturing,C1080*,Manufacture of prepared animal feeds,"Animal food (except dog and cat), manufacturing"
311211,Flour milling,C1030*,Processing and preserving of fruit and vegetables,"Fruit and potato flour, milling"
311211,Flour milling,C1061*,Manufacture of grain mill products,"Grain milling; flour (except fruit and potato), milling"
311214,Rice milling and malt manufacturing,C1061*,Manufacture of grain mill products,"Rice, milling"
311214,Rice milling and malt manufacturing,C1103*,Manufacture of malt liquors and malt,"Malt, manufacturing"
311221,Wet corn milling,C1040*,Manufacture of vegetable and animal oils and fats,Crude and refined vegetable oils made by wet milling
311221,Wet corn milling,C1062*,Manufacture of starches and starch products,"Corn starch and corn oil, manufacturing"
311224,Oilseed processing,C1040*,Manufacture of vegetable and animal oils and fats,Production of all vegetable and nut oils (except corn oil)
311225,Fat and oil refining and blending,C1040*,Manufacture of vegetable and animal oils and fats,"Edible animal fats and oils, refining and blending; vegetable fats and oils and inedible animal fats and oils, refining and blending"
311225,Fat and oil refining and blending,C1062*,Manufacture of starches and starch products,"Corn oil, made from purchased oils"
311230,Breakfast cereal manufacturing,C1061*,Manufacture of grain mill products,"Breakfast cereal, manufacturing"
311310,Sugar manufacturing,C1072*,Manufacture of sugar,"Sugar (except maple sugars and syrups), manufacturing"
311340,Non-chocolate confectionery manufacturing,C1073*,"Manufacture of cocoa, chocolate and sugar confectionery","Non-chocolate confectionery (e.g., lozenges, gum), manufacturing"
311351,Chocolate and chocolate confectionery manufacturing from cacao beans,C1073*,"Manufacture of cocoa, chocolate and sugar confectionery",Chocolate and chocolate confectionery manufacturing from cacao beans
311352,Confectionery manufacturing from purchased chocolate,C1073*,"Manufacture of cocoa, chocolate and sugar confectionery",Confectionery manufacturing from purchased chocolate
311410,Frozen food manufacturing,C1010*,Processing and preserving of meat,"Frozen meat entrées, prepared, manufacturing"
311410,Frozen food manufacturing,C1030*,Processing and preserving of fruit and vegetables,"Frozen fruits and vegetables (including preparations thereof), processing"
311410,Frozen food manufacturing,C1071*,Manufacture of bakery products,"Frozen french toast, pancakes, waffles, manufacturing"
311410,Frozen food manufacturing,C1074*,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","Frozen pasta, manufacturing"
311410,Frozen food manufacturing,C1075*,Manufacture of prepared meals and dishes,"Other frozen specialties (e.g., dinners, pot pies, soups (except seafood), pizza), manufacturing"
311410,Frozen food manufacturing,C1079*,Manufacture of other food products n.e.c.,Frozen soup and whipped topping
311420,"Fruit and vegetable canning, pickling and drying",C1030*,Processing and preserving of fruit and vegetables,"Fruits and vegetables (except soups, canned specialties, ketchup and similar tomato sauces), canning, pickling, drying and dehydrating"
311420,"Fruit and vegetable canning, pickling and drying",C1074*,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","Pasta-based products, canning"
311420,"Fruit and vegetable canning, pickling and drying",C1075*,Manufacture of prepared meals and dishes,"Canned specialties based on fruits or vegetables, including baked beans, bean sprouts, Chinese food and mincemeat, manufacturing"
311420,"Fruit and vegetable canning, pickling and drying",C1079*,Manufacture of other food products n.e.c.,"Canned baby food; soups, broths, soup mixes; condiment (i.e., ketchup, salsa), manufacturing"
311511,Fluid milk manufacturing,C1050*,Manufacture of dairy products,"Fluid milk, manufacturing"
311515,"Butter, cheese, and dry and condensed dairy product manufacturing",C1050*,Manufacture of dairy products,"Butter; cheese; dry and condensed dairy products, manufacturing"
311515,"Butter, cheese, and dry and condensed dairy product manufacturing",C1079*,Manufacture of other food products n.e.c.,"Except butter; cheese; dry and condensed dairy products, manufacturing"
311520,Ice cream and frozen dessert manufacturing,C1050*,Manufacture of dairy products,"Ice cream and frozen dessert, manufacturing"
311611,Animal (except poultry) slaughtering,C1010*,Processing and preserving of meat,"Animals (except poultry and small game), slaughtering"
311611,Animal (except poultry) slaughtering,C1079*,Manufacture of other food products n.e.c.,Production of meat extracts produced in slaughtering plants
311614,Rendering and meat processing from carcasses,C1010*,Processing and preserving of meat,"Sausages and other meat products from purchased carcasses, manufacturing; edible and inedible animal fats and oils, rendering"
311614,Rendering and meat processing from carcasses,C1079*,Manufacture of other food products n.e.c.,"Meat extracts (except poultry and small game), made from purchased meat"
311615,Poultry processing,C1010*,Processing and preserving of meat,Slaughtering and preparing of poultry and small game meat products
311710,Seafood product preparation and packaging,A0311*,Marine fishing,Catching and processing aboard the fishing boat
311710,Seafood product preparation and packaging,C1010*,Processing and preserving of meat,Whale meat production
311710,Seafood product preparation and packaging,C1020,"Processing and preserving of fish, crustaceans and molluscs",
311710,Seafood product preparation and packaging,C1040*,Manufacture of vegetable and animal oils and fats,"Marine fats and oils, processing (canned or frozen)"
311710,Seafood product preparation and packaging,C1075*,Manufacture of prepared meals and dishes,"Seafood dinners and stews, prepared and packaged, frozen or canned"
311710,Seafood product preparation and packaging,C1079*,Manufacture of other food products n.e.c.,"Fish and other seafood soups, chowders, and broths, manufacturing"
311811,Retail bakeries,C1071*,Manufacture of bakery products,Retail bakeries
311814,Commercial bakeries and frozen bakery product manufacturing,C1071*,Manufacture of bakery products,"Commercial bakeries and frozen bakery product, manufacturing"
311821,Cookie and cracker manufacturing,C1071*,Manufacture of bakery products,"Cookie and cracker, manufacturing"
311824,"Flour mixes, dough, and pasta manufacturing from purchased flour",C1061*,Manufacture of grain mill products,Flour mixes and dough manufacturing from purchased flour
311824,"Flour mixes, dough, and pasta manufacturing from purchased flour",C1074*,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","Dry pasta, manufacturing"
311824,"Flour mixes, dough, and pasta manufacturing from purchased flour",C1075*,Manufacture of prepared meals and dishes,"Prepared dry pasta meals, manufacturing"
311830,Tortilla manufacturing,C1071*,Manufacture of bakery products,"Tortilla, manufacturing"
311911,Roasted nut and peanut butter manufacturing,C1030*,Processing and preserving of fruit and vegetables,"Roasted nut and peanut butter, manufacturing"
311919,Other snack food manufacturing,C1030*,Processing and preserving of fruit and vegetables,"Potato chips and similar potato snacks, manufacturing"
311919,Other snack food manufacturing,C1071*,Manufacture of bakery products,"Baked snacks (e.g., corn chips, pretzels, tortilla chips), manufacturing; snacks foods, not prepared by baking (e.g., corn chips, tortilla chips), manufacturing"
311920,Coffee and tea manufacturing,C1079*,Manufacture of other food products n.e.c.,"Coffee (including concentrates) and tea, manufacturing"
311930,Flavouring syrup and concentrate manufacturing,C1030*,Processing and preserving of fruit and vegetables,"Fruit-based flavouring syrups and concentrates; apple cider non-alcoholic, manufacturing"
311930,Flavouring syrup and concentrate manufacturing,C1079*,Manufacture of other food products n.e.c.,"Flavouring syrups and concentrates (except fruit and coffee), manufacturing"
311940,Seasoning and dressing manufacturing,B0893*,Extraction of salt,Mining and processing of table salt
311940,Seasoning and dressing manufacturing,C1030*,Processing and preserving of fruit and vegetables,"Fruit-based extracts (e.g., lemon), manufacturing"
311940,Seasoning and dressing manufacturing,C1079*,Manufacture of other food products n.e.c.,"Spices, sauces and salad dressings (except flavouring syrups and concentrates) or processing of salt"
311990,All other food manufacturing,C1030*,Processing and preserving of fruit and vegetables,"Fresh vegetables and fruits, cutting, peeling, slicing"
311990,All other food manufacturing,C1074*,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","Fresh pasta, manufacturing"
311990,All other food manufacturing,C1075*,Manufacture of prepared meals and dishes,Fried noodles and dried pasta dish mixes made entirely of purchased dried ingredients
311990,All other food manufacturing,C1079*,Manufacture of other food products n.e.c.,"Other food products n.e.c., manufacturing"
312110,Soft drink and ice manufacturing,C1104,Manufacture of soft drinks; production of mineral waters and other bottled waters,
312110,Soft drink and ice manufacturing,D3530*,Steam and air conditioning supply,"Ice (except dry ice), manufacturing"
312120,Breweries,C1103*,Manufacture of malt liquors and malt,"Ale, lager, porter, stout brewing"
312130,Wineries,C1101*,"Distilling, rectifying and blending of spirits","Brandy, distilling"
312130,Wineries,C1102,Manufacture of wines,
312140,Distilleries,C1101*,"Distilling, rectifying and blending of spirits","Beverage spirits (except brandy), distilling"
312140,Distilleries,C2011*,Manufacture of basic chemicals,Ethyl alcohol production from fermented materials
312210,Tobacco stemming and redrying,C1200*,Manufacture of tobacco products,Tobacco stemming and redrying
312220,Tobacco product manufacturing,C1200*,Manufacture of tobacco products,"Tobacco product, manufacturing"
312310,Cannabis product manufacturing ,C3290*,Other manufacturing n.e.c,"cannabis cigarette manufacturing, cannabis processing, manufacture of cannabis products for recreational use"
312310,Cannabis product manufacturing ,C2011*,Manufacture of basic chemicals,cannabis e-liquids  and concentrates manufacturing
312310,Cannabis product manufacturing ,C1079*,"Manufacture of other food products, n.e.c","cannabis edibles manufacturing, cannabis-infused food and beverages manufacturing"
